584;Porto Seguro     ;BA 132;21/01/19;sexta;14:40;Colisao;0;0;colisao de dois veiculos
1421;São Carlos       ;SP 215;08/09/2001;Sábado;04:30;Choque/Obstáculo Fixo;0;0;V unico, devido estouro de pneu, perdeu controle, vindo a cruzar a via, após chocou-se contra barranco em acost/direito, sentido contrario.
1422;Guariba          ;SPV 044;08/09/2001;Sábado;15:00;Tombamentotáculo Fixo;0;0;V unico devido estouro de pneu, perdeu controle, tombando em acost/esquerdo. chocou-se contra barranco em acost/direito, sentido contrario.
1423;Pitangueiras     ;SP 3224;13/09/2001;Quinta-feira;07:30;Colisão/transversalxo;0;0;V 1 em trevo e ao cruzar a via sem os devidos cuidados, foi col/transv. por V 2.cou-se contra barranco em acost/direito, sentido contrario.
1424;São Carlos       ;SP 310N;08/09/2001;Sábado-feira;15:40;Atrop/pedestreersalxo;1;1;Atrop/pedestre.ao cruzar a via sem os devidos cuidados, foi col/transv. por V 2.cou-se contra barranco em acost/direito, sentido contrario.
1425;São Carlos       ;SP 310N;08/09/2001;Sábado-feira;17:40;Atrop/animalreersalxo;0;0;Atrop/animal(canino).zar a via sem os devidos cuidados, foi col/transv. por V 2.cou-se contra barranco em acost/direito, sentido contrario.
1426;Taquaritinga     ;SP 310S;08/09/2001;Sábado-feira;20:30;Choque/Obstáculo Fixo;0;1;V unico em alça de acesso e devido problemas com freio, perdeu controle, chocando-se contra defensa e capotando a sua esquerda.o contrario.
1427;Ibitinga         ;SP 317S;09/09/2001;Domingofeira;03:40;Colisão/frontalo Fixo;0;3;V 1 ao adentrar a via sem os devidos cuidados, col/front. em V 2 que seguia sent/Itapolis à SP 304, após ambos imobilizaran-se em acost/direito.
1428;Rincão           ;SP 318S;09/09/2001;Domingofeira;10:50;Colisão/lateralo Fixo;0;1;V 1 ao sair para acost/direito, e ao retornar a via e devido a degrau entre a pista e a faixa, perdeu controle, col/lat. em V 2 sent/contrario..
1429;Nova Europa      ;SP 331S;09/09/2001;Domingofeira;14:15;Capotamentoeralo Fixo;0;2;V 1 devido estouro do pneu, capotou e veio a col/transv. V 2, que seguia sent/contrario.faixa, perdeu controle, col/lat. em V 2 sent/contrario..
1430;Araraquara       ;SP 310N;09/09/2001;Domingofeira;16:15;Tombamentooeralo Fixo;0;2;V unico perdeu controle, saindo para acostamento e devido a desnivel entre a faixa e acost/direito, tombou além do mesmo.em V 2 sent/contrario..
1431;Monte Alto       ;SP 323N;09/09/2001;Domingofeira;17:20;Choque/Obstáculo Fixo;0;0;V 1 atingido em seu para-brisa, por pedriscos(local em obras de recapeamento), projetadados das rodas de V ignorado que seguia em sua frente.o..
1432;São Carlos       ;149/215;09/09/2001;Domingofeira;17:30;Colisão/lateralo Fixo;0;1;V 1 e 2 sent/Broa/S.Carlos, momento que V 1 sinalizou para adentrar a esquerda, sendo col/lat. por V 2 que seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1433;Jaboticabal      ;SP 3335;09/09/2001;Domingofeira;17:45;Capotamentoeralo Fixo;0;3;V 1 que invadiu faixa contraria e evadiu-se, momento que V 2 perdeu controle, capotando além acost/direito.seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1434;São Carlos       ;SP 310S;09/09/2001;Domingofeira;20:10;Atrop/animalralo Fixo;0;0;Atrop/animal(canino). contraria e evadiu-se, momento que V 2 perdeu controle, capotando além acost/direito.seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1435;São Carlos       ;SP 310S;09/09/2001;Domingofeira;22:40;Colisão/traseira Fixo;0;2;V 2 que evadiu-se, ao reduzir marcha bruscamente, foi col/tras. por V 1.role, capotando além acost/direito.seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1436;Tabatinga        ;SP 331S;10/09/2001;Segunda-feira;05:30;Colisão/traseira Fixo;0;2;V 2 devido a problemas mecânico, transitava devagar, momento que foi col/tras. por V 1. além acost/direito.seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1437;Guariba          ;SPV 044;10/09/2001;Segunda-feira;08:15;Choque/Obstáculo Fixo;0;0;V unico devido estouro de pneu, chocou-se contra barranco, além acost/direito. por V 1. além acost/direito.seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1438;São Carlos       ;SP 310N;10/09/2001;Segunda-feira;11:00;Choque/Obstáculo Fixo;0;0;V 1 em alça de acesso, ao reduzir velocidade e parar,  momento que V 1 chocou-se em sua traseira. /direito.seguia logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1439;Ibitinga         ;SP 321N;10/09/2001;Segunda-feira;15:30;Choque/Obstáculo Fixo;1;0;V unico, por motivo a ser esclarecido,  perdeu controle, chocando-se contra placa indicativa. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1440;Américo Brasiliense;SP 257N;10/09/2001;Segunda-feira;18:30;Tombamentotáculo Fixo;0;0;V unico devido a avarias mecânica, perdeu controle, tombando em acost/esquerdo.ca indicativa. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1441;Monte Alto       ;SP 323N;10/09/2001;Segunda-feira;19:20;Choque/Obstáculo Fixo;0;0;Choque do V unico perdeu controle, chocando-se contra barreiras plasticas de pedagio.icativa. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1442;Araraquara       ;SP 310S;11/09/2001;Terça-feirara;08:30;Atrop/animalculo Fixo;0;0;Atrop/animal(canino).deu controle, chocando-se contra barreiras plasticas de pedagio.icativa. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1443;Américo Brasiliense;SP 255S;11/09/2001;Terça-feirara;16:25;Tombamentoalculo Fixo;0;0;V unico ao adentrar alça de acesso, perdeu controle, tombando sobre a faixa de rolamento.iva. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
1444;Boa Esperança do Sul;SP 255S;11/09/2001;Terça-feirara;18:00;Colisão/lateralo Fixo;0;0;V 2 ao iniciar ultrapassagem em V 1, momento que este derivou a esquerda, havendo a col/lat.. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
9444;9                ;9P 255S;91/09/2001;99rça-feirara;98:00;9olisão/lateralo Fixo;9;9;9 2 ao iniciar ultrapassagem em V 1, momento que este derivou a esquerda, havendo a col/lat.. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
9444;                 ;9P 255S;91/09/2001;99rça-feirara;98:00;9olisão/lateralo Fixo;9;9;9 2 ao iniciar ultrapassagem em V 1, momento que este derivou a esquerda, havendo a col/lat.. além acost/direito. logo atrás, após V 1 veio a chocar-se contra postes de sinalização em acost/direito.
